123,0
124,0
125,0
0,127
126,0
127,0
0,111
96,0
97,0
98,0
99,0
0,103
95,0
0,87
0,79
67,0
68,0
69,0
70,0
71,0
0,63
0,55
40,0
41,0
42,0
43,0
0,39
39,0
0,31
11,0
12,0
0,15
13,0
14,0
15,0
0,7
0,255
0,247
235,0
236,0
237,0
238,0
239,0
0,231
0,223
208,0
209,0
210,0
211,0
0,207
207,0
0,199
179,0
180,0
0,183
181,0
182,0
183,0
0,175
152,0
153,0
154,0
155,0
237,190
0,159
0,151
151,0
0,135
376,0
377,0
378,0
379,0
0,375
375,0
0,367
347,0
348,0
0,351
349,0
350,0
351,0
0,343
320,0
321,0
322,0
323,0
0,327
0,319
319,0
0,303
291,0
292,0
0,295
293,0
294,0
295,0
0,279
264,0
265,0
266,0
267,0
0,271
263,0
0,511
488,0
489,0
490,0
491,0
0,495
0,487
487,0
0,471
459,0
460,0
0,463
461,0
462,0
463,0
0,447
432,0
433,0
434,0
435,0
0,439
431,0
0,423
0,415
403,0
404,0
405,0
406,0
407,0
0,399
0,391
0,639
627,0
628,0
0,631
629,0
630,0
631,0
0,615
600,0
601,0
602,0
603,0
0,607
599,0
0,591
0,583
571,0
572,0
573,0
574,0
575,0
0,567
0,559
544,0
545,0
546,0
547,0
0,543
543,0
0,535
515,0
516,0
0,519
517,0
518,0
519,0
13,766
767,0
0,759
65,680
0,751
739,0
740,0
741,0
742,0
743,0
0,735
0,727
712,0
713,0
714,0
715,0
0,711
711,0
0,703
683,0
684,0
0,687
685,0
686,0
687,0
0,679
656,0
657,0
658,0
659,0
0,663
0,655
655,0
0,895
880,0
881,0
882,0
883,0
0,879
879,0
0,871
851,0
852,0
0,855
853,0
854,0
855,0
0,847
824,0
825,0
826,0
827,0
0,831
0,823
823,0
0,807
795,0
796,0
0,799
797,0
798,0
799,0
0,783
768,0
769,0
770,0
771,0
0,775
1019,0
1020,0
0,1023
1021,0
1022,0
1023,0
894,135
0,1015
992,0
993,0
994,0
995,0
0,999
0,991
991,0
0,975
963,0
964,0
0,967
965,0
966,0
967,0
180,768
0,951
181,768
936,0
937,0
938,0
939,0
0,943
935,0
0,927
0,919
907,0
908,0
909,0
910,0
911,0
0,903
0,1143
1131,0
1132,0
0,1135
1133,0
1134,0
1135,0
0,1119
1104,0
1105,0
1106,0
1107,0
0,1111
600,766
1103,0
345,1000
0,1095
0,1087
1075,0
1076,0
1077,0
1078,0
1079,0
0,1071
0,1063
1048,0
1049,0
1050,0
1051,0
0,1047
1047,0
0,1039
1272,0
1273,0
1274,0
1275,0
0,1279
516,766
1271,0
0,1263
0,1255
1243,0
1244,0
1245,0
1246,0
1247,0
0,1239
0,1231
1216,0
1217,0
1218,0
1219,0
0,1215
1215,0
0,1207
1187,0
1188,0
0,1191
1189,0
1190,0
1191,0
0,1183
1160,0
1161,0
1162,0
1163,0
0,1167
0,1159
1159,0
0,1407
0,1399
1384,0
1385,0
1386,0
1387,0
0,1383
1383,0
0,1375
1355,0
1356,0
0,1359
1357,0
1358,0
1359,0
852,766
0,1351
1328,0
1329,0
1330,0
1331,0
0,1335
0,1327
1327,0
0,1311
1299,0
1300,0
0,1303
1301,0
1302,0
1303,0
0,1287
376,1152
1523,0
1524,0
0,1527
1525,0
1526,0
1527,0
0,1519
1384,382
1496,0
1497,0
